"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Manufacturing","Tonne","2,590,072.65",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Electricity, gas, steam and air conditioning supply","Tonne","12,072,426.56",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Water supply; sewerage, waste management and remediation activities","Tonne","522,102.62",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Construction","Tonne","212,960.75",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","157,086.55",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Transportation and storage","Tonne","1,742,730.72",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Accommodation and food service activities","Tonne","34,031.2",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Information and communication","Tonne","12,978.77",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Financial and insurance activities","Tonne","5,864.7",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Real estate activities","Tonne","85,908.95",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Professional, scientific and technical activities","Tonne","39,476.92",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Administrative and support service activities","Tonne","36,982.36",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Public administration and defence; compulsory social security","Tonne","286,755.83",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Education","Tonne","75,804.05",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Human health and social work activities","Tonne","28,974.06",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Arts, entertainment and recreation","Tonne","22,932.85",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Other service activities","Tonne","17,702.32",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Activities of extraterritorial organisations and bodies","Tonne","0",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Total - all NACE activities","Tonne","51,313,652.5",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Agriculture, forestry and fishing","Tonne","19,093,881.52",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Mining and quarrying","Tonne","426,713.96",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Manufacturing","Tonne","8,638,350.63",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Electricity, gas, steam and air conditioning supply","Tonne","14,201,683.22",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Water supply; sewerage, waste management and remediation activities","Tonne","1,276,117.59",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Construction","Tonne","526,731.52",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","1,671,819.24",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Transportation and storage","Tonne","3,791,103.74",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Accommodation and food service activities","Tonne","334,603.57",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Information and communication","Tonne","229,015.74",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Financial and insurance activities","Tonne","76,605.02",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Real estate activities","Tonne","12,973.74",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Professional, scientific and technical activities","Tonne","65,779.99",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Administrative and support service activities","Tonne","87,169.71",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Public administration and defence; compulsory social security","Tonne","391,384.57",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Education","Tonne","284,020.7",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Human health and social work activities","Tonne","113,361.19",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Arts, entertainment and recreation","Tonne","52,158.44",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Other service activities","Tonne","40,178.4",""
"2008","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
