"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2015","Europäische Union - 25 Länder (2004-2006)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","86.043,82",""
"2015","Europäische Union - 15 Länder (1995-2004)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","75.680,58",""
"2015","Belgien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.503,26",""
"2015","Bulgarien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","561,04",""
"2015","Tschechien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.366,33",""
"2015","Dänemark","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.566,00",""
"2015","Deutschland (bis 1990 früheres Gebiet der BRD)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","12.635,46",""
"2015","Estland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","256,20",""
"2015","Irland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.422,23",""
"2015","Griechenland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","582,00",""
"2015","Spanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.182,91",""
"2015","Frankreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","19.406,00",""
"2015","Kroatien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","441,00",""
"2015","Italien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.155,81",""
"2015","Zypern","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","58,86",""
"2015","Lettland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","419,08",""
"2015","Litauen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","722,60",""
"2015","Luxemburg","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","200,64",""
"2015","Ungarn","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","821,00",""
"2015","Malta","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","15,02",""
"2015","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","4.315,00",""
"2015","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.957,61",""
"2015","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.762,50",""
"2015","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.605,86",""
"2015","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.092,40",""
"2015","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","484,19",""
"2015","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","457,46",""
"2015","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","903,41",""
"2015","Schweden","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.428,40",""
"2015","Vereinigtes Königreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","9.816,00",""
"2015","Island","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","75,90",""
"2015","Schweiz","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.567,14",""
"2015","Montenegro","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","92,00",""
"2015","Nordmazedonien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","253,00",""
"2015","Albanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","505,77","e"
"2015","Serbien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","916,00",""
"2015","Türkei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","14.127,84",""
"2015","Bosnien und Herzegowina","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","455,00","e"
"2015","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","258,50",""
"2016","Europäische Union - 28 Länder","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","89.134,16",""
"2016","Europäische Union - 27 Länder (2007-2013)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","88.690,16",""
"2016","Europäische Union - 25 Länder (2004-2006)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","86.070,32",""
"2016","Europäische Union - 15 Länder (1995-2004)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","75.541,01",""
"2016","Belgien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.501,35",""
